Date,amzn,tsla
2024-04-10,185.949997,171.759995
2024-04-11,189.050003,174.600006
2024-04-12,186.130005,171.050003
2024-04-15,183.619995,161.479996
2024-04-16,183.320007,157.110001
2024-04-17,181.279999,155.449997
2024-04-18,179.220001,149.929993
2024-04-19,174.630005,147.050003
2024-04-22,177.229996,142.050003
2024-04-23,179.539993,144.679993
